state,month,year,tax type,value,fips state,numeric month,note,id
Connecticut,May,2021,motor fuel,40331552,9,5,,9_2021_5
Connecticut,November,2019,motor fuel,43988376,9,11,,9_2019_11
Connecticut,November,2020,motor fuel,38248485,9,11,,9_2020_11
Connecticut,November,2021,motor fuel,41620952,9,11,,9_2021_11
Connecticut,October,2019,motor fuel,41834521,9,10,,9_2019_10
Connecticut,October,2020,motor fuel,38640492,9,10,,9_2020_10
Connecticut,October,2021,motor fuel,39731591,9,10,,9_2021_10
Connecticut,September,2019,motor fuel,46428055,9,9,,9_2019_9
Connecticut,September,2020,motor fuel,44702261,9,9,,9_2020_9
Connecticut,September,2021,motor fuel,40729409,9,9,,9_2021_9
Delaware,April,2019,motor fuel,15069264,10,4,,10_2019_4
Delaware,April,2020,motor fuel,13815342,10,4,,10_2020_4
Delaware,April,2021,motor fuel,,10,4,,10_2021_4
Delaware,April,2022,motor fuel,,10,4,,10_2022_4
Delaware,August,2019,motor fuel,,10,8,,10_2019_8
Delaware,August,2020,motor fuel,,10,8,,10_2020_8
Delaware,August,2021,motor fuel,,10,8,,10_2021_8
Delaware,December,2019,motor fuel,11733556,10,12,,10_2019_12
Delaware,December,2020,motor fuel,9543483,10,12,,10_2020_12
Delaware,December,2021,motor fuel,,10,12,,10_2021_12
Delaware,February,2020,motor fuel,,10,2,,10_2020_2
Delaware,February,2021,motor fuel,,10,2,,10_2021_2
Delaware,February,2022,motor fuel,,10,2,,10_2022_2
Delaware,January,2020,motor fuel,,10,1,,10_2020_1
Delaware,January,2021,motor fuel,,10,1,,10_2021_1
Delaware,January,2022,motor fuel,,10,1,,10_2022_1
Delaware,July,2019,motor fuel,,10,7,,10_2019_7
Delaware,July,2020,motor fuel,,10,7,,10_2020_7
Delaware,July,2021,motor fuel,,10,7,,10_2021_7
Delaware,June,2019,motor fuel,19722481,10,6,,10_2019_6
Delaware,June,2020,motor fuel,15564365,10,6,,10_2020_6
Delaware,June,2021,motor fuel,17597264,10,6,,10_2021_6
Delaware,March,2020,motor fuel,11146656,10,3,,10_2020_3
Delaware,March,2021,motor fuel,8376805,10,3,,10_2021_3
Delaware,March,2022,motor fuel,,10,3,,10_2022_3
Delaware,May,2019,motor fuel,,10,5,,10_2019_5
