Year,Sex,Cohort,State,Drivers
2017,Male,25-29,Maine,39976
2017,Male,25-29,Maryland,203592
2017,Male,25-29,Massachusetts,233999
2017,Male,25-29,Michigan,307655
2017,Male,25-29,Minnesota,125894
2017,Male,25-29,Mississippi,79522
2017,Male,25-29,Missouri,184258
2017,Male,25-29,Montana,35216
2017,Male,25-29,Nebraska,66613
2017,Male,25-29,Nevada,85692
2017,Male,25-29,New Hampshire,47817
2017,Male,25-29,New Jersey,270015
2017,Male,25-29,New Mexico,63071
2017,Male,25-29,New York,515266
2017,Male,25-29,North Carolina,335459
2017,Male,25-29,North Dakota,32049
2017,Male,25-29,Ohio,318538
2017,Male,25-29,Oklahoma,106127
2017,Male,25-29,Oregon,122197
2017,Male,25-29,Pennsylvania,372748
2017,Male,25-29,Rhode Island,33303
2017,Male,25-29,South Carolina,162185
2017,Male,25-29,South Dakota,26753
2017,Male,25-29,Tennessee,234051
2017,Male,25-29,Texas,788962
2017,Male,25-29,Utah,106644
2017,Male,25-29,Vermont,23759
2017,Male,25-29,Virginia,251657
2017,Male,25-29,Washington,284862
2017,Male,25-29,West Virginia,37831
2017,Male,25-29,Wisconsin,178504
2017,Male,25-29,Wyoming,18787
2017,Male,30-34,Alabama,152753
2017,Male,30-34,Alaska,28138
2017,Male,30-34,Arizona,234537
2017,Male,30-34,Arkansas,95826
2017,Male,30-34,California,1357420
2017,Male,30-34,Colorado,215595
2017,Male,30-34,Connecticut,107745
2017,Male,30-34,Delaware,32406
2017,Male,30-34,District of Columbia,44825
2017,Male,30-34,Florida,598469
2017,Male,30-34,Georgia,286660
2017,Male,30-34,Hawaii,42980
2017,Male,30-34,Idaho,51213
2017,Male,30-34,Illinois,371523
2017,Male,30-34,Indiana,187656
2017,Male,30-34,Iowa,92832
2017,Male,30-34,Kansas,85862
2017,Male,30-34,Kentucky,124641
2017,Male,30-34,Louisiana,149157
2017,Male,30-34,Maine,39518
2017,Male,30-34,Maryland,217015
2017,Male,30-34,Massachusetts,223308
2017,Male,30-34,Michigan,279201
2017,Male,30-34,Minnesota,134318
2017,Male,30-34,Mississippi,72666
2017,Male,30-34,Missouri,178651
2017,Male,30-34,Montana,33987
2017,Male,30-34,Nebraska,65220
2017,Male,30-34,Nevada,89162
2017,Male,30-34,New Hampshire,44293
2017,Male,30-34,New Jersey,254294
2017,Male,30-34,New Mexico,67133
2017,Male,30-34,New York,509546
2017,Male,30-34,North Carolina,313964
2017,Male,30-34,North Dakota,29833
2017,Male,30-34,Ohio,309201
2017,Male,30-34,Oklahoma,100571
2017,Male,30-34,Oregon,128343
2017,Male,30-34,Pennsylvania,364588
2017,Male,30-34,Rhode Island,31643
2017,Male,30-34,South Carolina,150681
2017,Male,30-34,South Dakota,27051
2017,Male,30-34,Tennessee,223791
2017,Male,30-34,Texas,773253
2017,Male,30-34,Utah,101862
2017,Male,30-34,Vermont,24649
2017,Male,30-34,Virginia,250439
2017,Male,30-34,Washington,300063
2017,Male,30-34,West Virginia,36238
2017,Male,30-34,Wisconsin,180826
2017,Male,30-34,Wyoming,19394
2017,Male,35-39,Alabama,147268
2017,Male,35-39,Alaska,24515
2017,Male,35-39,Arizona,237109
2017,Male,35-39,Arkansas,94758
2017,Male,35-39,California,1271935
2017,Male,35-39,Colorado,198815
2017,Male,35-39,Connecticut,102407
2017,Male,35-39,Delaware,29605
2017,Male,35-39,District of Columbia,40934
2017,Male,35-39,Florida,576011
2017,Male,35-39,Georgia,284435
2017,Male,35-39,Hawaii,43652
2017,Male,35-39,Idaho,51124
2017,Male,35-39,Illinois,370583
2017,Male,35-39,Indiana,187546
2017,Male,35-39,Iowa,91350
2017,Male,35-39,Kansas,83758
2017,Male,35-39,Kentucky,127379
2017,Male,35-39,Louisiana,148558
2017,Male,35-39,Maine,37957
2017,Male,35-39,Maryland,205342
2017,Male,35-39,Massachusetts,203555
2017,Male,35-39,Michigan,267575
2017,Male,35-39,Minnesota,140622
2017,Male,35-39,Mississippi,76306
2017,Male,35-39,Missouri,172347
2017,Male,35-39,Montana,33567
2017,Male,35-39,Nebraska,60422
2017,Male,35-39,Nevada,88767
2017,Male,35-39,New Hampshire,40298
2017,Male,35-39,New Jersey,249846
2017,Male,35-39,New Mexico,65666
2017,Male,35-39,New York,489286
2017,Male,35-39,North Carolina,295435
2017,Male,35-39,North Dakota,26172
2017,Male,35-39,Ohio,307662
2017,Male,35-39,Oklahoma,93557
2017,Male,35-39,Oregon,126298
2017,Male,35-39,Pennsylvania,347163
2017,Male,35-39,Rhode Island,29456
2017,Male,35-39,South Carolina,144827
2017,Male,35-39,South Dakota,26540
2017,Male,35-39,Tennessee,220977
2017,Male,35-39,Texas,762976
2017,Male,35-39,Utah,105365
2017,Male,35-39,Vermont,23142
2017,Male,35-39,Virginia,244668
2017,Male,35-39,Washington,290164
2017,Male,35-39,West Virginia,38958
2017,Male,35-39,Wisconsin,172401
2017,Male,35-39,Wyoming,18630
2017,Male,40-44,Alabama,141661
2017,Male,40-44,Alaska,20439
2017,Male,40-44,Arizona,230217
2017,Male,40-44,Arkansas,88166
2017,Male,40-44,California,1161906
2017,Male,40-44,Colorado,177709
2017,Male,40-44,Connecticut,96046
2017,Male,40-44,Delaware,26241
2017,Male,40-44,District of Columbia,27737
2017,Male,40-44,Florida,562060
2017,Male,40-44,Georgia,282563
2017,Male,40-44,Hawaii,40295
2017,Male,40-44,Idaho,46354
2017,Male,40-44,Illinois,344769
2017,Male,40-44,Indiana,177192
2017,Male,40-44,Iowa,80973
2017,Male,40-44,Kansas,74402
2017,Male,40-44,Kentucky,123598
2017,Male,40-44,Louisiana,131622
2017,Male,40-44,Maine,36090
2017,Male,40-44,Maryland,179398
2017,Male,40-44,Massachusetts,182957
2017,Male,40-44,Michigan,254638
2017,Male,40-44,Minnesota,127205
2017,Male,40-44,Mississippi,73617
2017,Male,40-44,Missouri,155678
2017,Male,40-44,Montana,29357
2017,Male,40-44,Nebraska,52747
2017,Male,40-44,Nevada,84321
2017,Male,40-44,New Hampshire,38511
2017,Male,40-44,New Jersey,246515
2017,Male,40-44,New Mexico,58597
2017,Male,40-44,New York,457902
2017,Male,40-44,North Carolina,290775
2017,Male,40-44,North Dakota,21179
2017,Male,40-44,Ohio,293079
2017,Male,40-44,Oklahoma,82665
2017,Male,40-44,Oregon,114457
2017,Male,40-44,Pennsylvania,326140
2017,Male,40-44,Rhode Island,26651
2017,Male,40-44,South Carolina,136629
2017,Male,40-44,South Dakota,22687
2017,Male,40-44,Tennessee,220316
2017,Male,40-44,Texas,727846
2017,Male,40-44,Utah,90222
2017,Male,40-44,Vermont,20458
2017,Male,40-44,Virginia,231090
2017,Male,40-44,Washington,255792
2017,Male,40-44,West Virginia,41637
2017,Male,40-44,Wisconsin,156003
2017,Male,40-44,Wyoming,16311
2017,Male,45-49,Alabama,155737
2017,Male,45-49,Alaska,20859
2017,Male,45-49,Arizona,241330
2017,Male,45-49,Arkansas,91676
2017,Male,45-49,California,1219515
2017,Male,45-49,Colorado,182983
2017,Male,45-49,Connecticut,112978
2017,Male,45-49,Delaware,29649
2017,Male,45-49,District of Columbia,22618
2017,Male,45-49,Florida,634655
2017,Male,45-49,Georgia,317556
2017,Male,45-49,Hawaii,43387
2017,Male,45-49,Idaho,46882
2017,Male,45-49,Illinois,362055
2017,Male,45-49,Indiana,192678
2017,Male,45-49,Iowa,87122
2017,Male,45-49,Kansas,76078
2017,Male,45-49,Kentucky,133602
2017,Male,45-49,Louisiana,137620
2017,Male,45-49,Maine,42050
2017,Male,45-49,Maryland,191899
2017,Male,45-49,Massachusetts,199671
2017,Male,45-49,Michigan,290342
2017,Male,45-49,Minnesota,139902
2017,Male,45-49,Mississippi,80295
2017,Male,45-49,Missouri,167970
2017,Male,45-49,Montana,29776
2017,Male,45-49,Nebraska,53902
2017,Male,45-49,Nevada,90958
2017,Male,45-49,New Hampshire,47403
2017,Male,45-49,New Jersey,274862
2017,Male,45-49,New Mexico,58223
2017,Male,45-49,New York,515063
2017,Male,45-49,North Carolina,324237
2017,Male,45-49,North Dakota,20944
2017,Male,45-49,Ohio,332941
2017,Male,45-49,Oklahoma,85559
2017,Male,45-49,Oregon,118286
2017,Male,45-49,Pennsylvania,377866
2017,Male,45-49,Rhode Island,30394
2017,Male,45-49,South Carolina,149997
2017,Male,45-49,South Dakota,22433
2017,Male,45-49,Tennessee,248789
2017,Male,45-49,Texas,769883
2017,Male,45-49,Utah,77579
2017,Male,45-49,Vermont,22279
2017,Male,45-49,Virginia,257553
2017,Male,45-49,Washington,259568
2017,Male,45-49,West Virginia,47291
2017,Male,45-49,Wisconsin,175131
2017,Male,45-49,Wyoming,16176
2017,Male,50-54,Alabama,157137
2017,Male,50-54,Alaska,21866
2017,Male,50-54,Arizona,231198
2017,Male,50-54,Arkansas,93044
2017,Male,50-54,California,1217550
2017,Male,50-54,Colorado,172105
2017,Male,50-54,Connecticut,124884
2017,Male,50-54,Delaware,31964
2017,Male,50-54,District of Columbia,18573
2017,Male,50-54,Florida,664757
2017,Male,50-54,Georgia,314906
2017,Male,50-54,Hawaii,43918
2017,Male,50-54,Idaho,48030
2017,Male,50-54,Illinois,364950
2017,Male,50-54,Indiana,198488
2017,Male,50-54,Iowa,92557
2017,Male,50-54,Kansas,78146
2017,Male,50-54,Kentucky,138075
2017,Male,50-54,Louisiana,141668
2017,Male,50-54,Maine,46111
2017,Male,50-54,Maryland,199714
2017,Male,50-54,Massachusetts,215410
2017,Male,50-54,Michigan,306711
2017,Male,50-54,Minnesota,150042
2017,Male,50-54,Mississippi,82691
2017,Male,50-54,Missouri,176670
2017,Male,50-54,Montana,31430
2017,Male,50-54,Nebraska,57955
2017,Male,50-54,Nevada,88088
2017,Male,50-54,New Hampshire,53021
2017,Male,50-54,New Jersey,295440
2017,Male,50-54,New Mexico,60794
2017,Male,50-54,New York,552236
2017,Male,50-54,North Carolina,317623
2017,Male,50-54,North Dakota,22309
2017,Male,50-54,Ohio,347300
2017,Male,50-54,Oklahoma,87311
2017,Male,50-54,Oregon,112198
2017,Male,50-54,Pennsylvania,407002
2017,Male,50-54,Rhode Island,34130
